OTU_ID	R211L5S10	R211L5S11	R211L5S12	R211L5S14	R211L5S15	R211L5S17	R211L5S1	R211L5S21	R211L5S22	R211L5S23	R211L5S26	R211L5S27	R211L5S29	R211L5S30	R211L5S33	R211L5S34	R211L5S35	R211L5S36	R211L5S37	R211L5S38	R211L5S39	R211L5S41	R211L5S42	R211L5S43	R211L5S46	R211L5S50	R211L5S53	R211L5S58	R211L5S5	R211L5S61	R211L5S66	R211L5S68	R211L5S69	R211L5S6	R211L5S70	R211L5S73	R211L5S74	R211L5S75	R211L5S78
Zotu3824	2	0	0	1	4	3	1	2	0	0	2	2	0	6	1	0	2	0	0	4	0	0	5	3	0	3	0	0	0	7	0	1	15	11	11	4	0	0	1
Zotu1334	1	3	0	0	2	0	0	0	2	0	0	7	7	2	14	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0
Zotu1133	1	0	0	1	0	0	1	0	2	0	0	0	3	5	6	2	0	0	0	0	0	0	3	3	0	0	0	5	0	0	0	1	2	6	0	0	0	1	0
Zotu2176	1	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	11	6	0	0	3	0	0	0	5	3	0	0	0	2	0	0	1	0	0
Zotu1640	1	0	0	2	1	0	0	0	0	0	0	3	3	0	9	3	0	0	0	0	0	0	6	5	1	0	1	0	0	0	0	0	3	1	0	10	0	0	1
Zotu4738	4	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0
Zotu575	3	0	0	4	3	0	10	4	1	1	2	1	28	5	12	15	0	1	0	2	12	0	10	0	4	6	1	0	3	2	3	0	14	7	3	5	4	2	4
Zotu2177	1	0	0	0	5	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	6	0	4	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Zotu1826	1	1	1	4	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	0	1	0	3	0	0	3	0	0	0	0	2	1	0	4	0	0	0	0	0
Zotu1972	1	1	0	0	1	0	0	0	0	0	0	0	2	0	5	0	0	0	0	2	0	2	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1
Zotu1235	2	0	0	0	0	0	29	0	0	0	0	0	1	2	1	0	0	0	0	10	0	2	0	0	0	0	12	0	0	0	9	0	0	1	0	1	5	0	0
Zotu1058	1	0	0	2	0	0	0	1	6	0	1	4	4	1	6	0	3	0	0	2	2	2	4	3	1	3	3	0	0	1	0	0	11	0	1	1	0	0	0
