#RNA counts for selected genes
samples	environment	genotype	environmentGenotype	PR1	PDF1.2	ACD6	UBQ10	AOC1	AOC2	DTX18	EDS1	NPR1	NPR3	NPR4	PAD3	PDF1.3	PR5	SIB1	UGT71B5
R211L5S26	F-Z	Est1	F-Z_Est1	0.5	3.532642095	197.0152077	2793.563369	86.02050707	195.8021509	0.5	41.13740407	71.46382502	5.95875577	22.9415515	0.5	1.106528419	103.0033028	18.08932415	0.5
R211L5S27	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	19.8764015	7.375497305	123.0088611	1671.245845	69.88001826	78.63065119	0.5	21.12649191	71.75515389	7.375497305	21.75153712	0.5	1.750090419	195.5141054	5.500361676	2.375135629
R211L5S29	F-Z	Est1	F-Z_Est1	4.990813264	49.8989459	392.9970793	3410.823593	88.51993997	157.6784642	7.685301222	35.52834346	88.51993997	13.97243979	25.64855428	0.5	18.46325306	226.8369885	10.37978918	2.296325306
R211L5S30	F-Z	Est1	F-Z_Est1	15.91526632	31.33053264	412.858374	3060.430364	98.77232278	143.0912134	2.42690829	64.08797357	104.5530477	15.91526632	2.42690829	0.5	4.35381658	243.2904445	23.62289948	0.5
R211L5S32	F-Z	Est1	F-Z_Est1	0.5	11.16111862	430.4984509	3674.242504	79.47124902	131.5922734	0.5	22.21709348	97.63463629	14.31996858	27.35022467	0.5	2.474281225	165.1550542	21.82223723	2.07942498
R211L5S33	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	1.605923411	0.5	86.20906438	2398.141956	109.9864177	161.9648181	0.5	20.95958311	45.84285986	10.4533107	13.77108094	1.052961706	1.052961706	101.1390304	4.923693645	0.5
R211L5S34	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	0.5	19.76006625	99.55176928	3238.942568	179.3434723	272.8923655	0.5	47.27444661	98.17605026	65.15879384	32.14153741	0.5	0.5	124.3147116	1.875719018	0.5
R211L5S35	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.892165314	13.65690923	85.42186864	3103.138412	69.27475277	84.82382731	0.5	19.03928118	69.27475277	14.25495055	7.676495942	0.5	0.5	120.1082657	8.27453727	0.5
R211L5S36	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	5.174007209	7.511010813	214.168901	2575.877972	76.95340363	152.0713766	0.5	14.18816397	71.61168111	6.50943784	18.86217118	2.169288289	4.172434236	135.7123514	10.84958739	0.8338576578
R211L5S37	F-Z	Est-1:acd6-null	F-Z_Est-1:acd6-null	2.983752617	0.5	85.44433951	3199.07662	84.45083846	147.5381549	0.5	23.35052408	87.92809213	9.441509422	12.42201256	0.9967505234	0.5	143.0674002	8.944758899	0.5
