CORNER	Samp2R1V4GI502comboCT	Samp6R1V4GI502comboCT	Samp10R1V4GI502comboCT	Samp12R1V4GI502comboCT	Samp15R1V4GI502comboCT	Samp16R1V4GI502comboCT	Samp20R1V4GI502comboCT	Samp21R1V4GI502comboCT	Samp25R1V4GI502comboCT	Samp28R1V4GI502comboCT	Samp29R1V4GI502comboCT	Samp34R1V4GI502comboCT	Samp35R1V4GI502comboCT	Samp36R1V4GI502comboCT	Samp40R1V4GI502comboCT	Samp43R1V4GI502comboCT	Samp44R1V4GI502comboCT	Samp45R1V4GI502comboCT	Samp47R1V4GI502comboCT	Samp51R1V4GI502comboCT	Samp52R1V4GI502comboCT	Samp55R1V4GI502comboCT	Samp57R1V4GI502comboCT	Samp16R1V4GI502comboAG	Samp69R1V4GI502comboCT	Samp18R1V4GI502comboAG	Samp85R1V4GI502comboCT	Samp90R1V4GI502comboCT	Samp94R1V4GI502comboCT	Samp2R1V4GI502comboAG	Samp21R1V4GI502comboAG	Samp24R1V4GI502comboAG	Samp26R1V4GI502comboAG	Samp27R1V4GI502comboAG	Samp28R1V4GI502comboAG	Samp33R1V4GI502comboAG	Samp34R1V4GI502comboAG	Samp35R1V4GI502comboAG	Samp38R1V4GI502comboAG	Samp41R1V4GI502comboAG	Samp43R1V4GI502comboAG	Samp45R1V4GI502comboAG	Samp47R1V4GI502comboAG	Samp54R1V4GI502comboAG	Samp57R1V4GI502comboAG	Samp63R1V4GI502comboAG	Samp68R1V4GI502comboAG	Samp75R1V4GI502comboAG	Samp77R1V4GI502comboAG	Samp81R1V4GI502comboAG	Samp83R1V4GI502comboAG	Samp84R1V4GI502comboAG	Samp88R1V4GI502comboAG
Zotu539	0	10	0	0	0	0	0	68	4	0	0	0	0	0	0	0	4	0	18	0	0	0	0	0	0	0	0	34	16	0	0	46	0	2	0	10	0	0	14	0	0	28	0	64	2	0	0	0	52	4	0	4	0
Zotu6748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
Zotu210	0	0	0	0	0	268	0	0	2	88	0	0	206	2	12	20	98	40	0	0	12	4	0	0	0	0	130	0	0	10	0	628	0	0	0	0	12	18	22	0	8	0	0	0	2	16	0	6	0	76	10	56	0
Zotu46	2	40	2	16	12	120	0	808	42	1164	486	52	530	88	494	282	934	648	160	126	62	98	398	260	42	0	216	416	234	260	100	728	254	160	122	246	382	458	112	804	300	636	332	550	572	136	102	336	484	306	126	210	102
Zotu1692	50	20	16	24	0	12	196	0	0	0	0	54	0	0	24	0	18	0	0	2	38	0	0	0	0	22	24	2	0	0	94	0	2	30	0	0	0	0	0	0	2	8	0	0	0	0	4	0	4	2	0	26	0
Zotu71	0	10	0	0	0	88	0	150	16	110	198	88	4	10	3718	2	2	2	44	0	0	46	0	120	420	474	70	0	0	576	28	124	0	2	2	1136	0	0	0	38	32	0	0	54	0	0	0	0	2	0	16	0	0
Zotu2826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu37	0	192	64	116	4	62	48	526	78	1892	476	36	1120	112	404	426	832	452	278	100	36	402	458	148	102	110	314	652	608	242	102	902	454	126	228	248	574	462	178	882	486	362	234	670	1362	128	42	448	508	542	142	290	112
Zotu178	134	30	4	2	0	176	8	104	8	108	2	28	110	2	22	22	6	130	12	16	10	10	38	26	2	0	4	34	34	12	18	76	54	22	6	18	40	18	32	50	2	8	10	40	144	8	16	0	30	8	0	2	2
Zotu26	3256	2360	24	478	20	616	10	204	86	608	108	392	620	38	668	262	1008	106	402	640	32	172	136	28	478	74	100	142	116	82	216	146	94	168	1188	372	296	288	22	204	2398	104	128	642	2590	58	24	780	860	314	72	184	110
